Strike,contractSymbol,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
55.0,AAPL231020C00055000,USD,137.03,0.0,0.0,1,3,138.4,140.85,REGULAR,1697760000,1688738105,1.4091826416015625,True
60.0,AAPL231020C00060000,USD,133.23,0.0,0.0,14,16,134.7,136.3,REGULAR,1697760000,1689606174,1.2265663671875,True
65.0,AAPL231020C00065000,USD,87.0,0.0,0.0,1,2,100.85,102.15,REGULAR,1697760000,1678896887,1.0000000000000003e-05,True
70.0,AAPL231020C00070000,USD,104.91,0.0,0.0,2,160,109.95,111.45,REGULAR,1697760000,1683314370,1.0000000000000003e-05,True
75.0,AAPL231020C00075000,USD,115.55,0.0,0.0,30,225,120.05,120.6,REGULAR,1697760000,1688057772,0.9619144433593749,True
80.0,AAPL231020C00080000,USD,113.75,0.0,0.0,2,2,115.4,115.6,REGULAR,1697760000,1688136193,0.9458013232421875,True
85.0,AAPL231020C00085000,USD,105.37,0.0,0.0,1,9,110.1,110.85,REGULAR,1697760000,1687976334,0.8818371191406249,True
90.0,AAPL231020C00090000,USD,101.71,0.0,0.0,200,258,105.55,105.8,REGULAR,1697760000,1689364796,0.8659681372070311,True
95.0,AAPL231020C00095000,USD,93.69,0.0,0.0,1,154,100.3,100.6,REGULAR,1697760000,1687544298,0.7695335546875001,True
100.0,AAPL231020C00100000,USD,95.73,-1.1399994,-1.1768342,1,201,95.45,96.2,REGULAR,1697760000,1689864883,0.7839377075195313,True
105.0,AAPL231020C00105000,USD,88.41,0.0,0.0,1,174,90.45,91.15,REGULAR,1697760000,1688745981,0.7302273071289063,True
110.0,AAPL231020C00110000,USD,86.72,0.0,0.0,1,14,85.65,85.9,REGULAR,1697760000,1689795946,0.6789582885742189,True
115.0,AAPL231020C00115000,USD,76.55,0.0,0.0,3,75,80.95,81.2,REGULAR,1697760000,1689189712,0.6699251757812501,True
120.0,AAPL231020C00120000,USD,76.92,0.0,0.0,3,176,75.85,76.1,REGULAR,1697760000,1689795946,0.6130409790039064,True
125.0,AAPL231020C00125000,USD,71.55,0.0,0.0,20,192,71.0,71.45,REGULAR,1697760000,1689789040,0.594730615234375,True
130.0,AAPL231020C00130000,USD,67.07,0.0,0.0,12,333,66.0,66.3,REGULAR,1697760000,1689795916,0.5443160803222657,True
